2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0111,Wellcare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,38%,65%,91%,27%,91,0:38,56%,96%,2.00%,73%,82%,32%,3%,17%,14%,35%,18%,78%,11%,95%,59%,41%,69%,90%,2%,5%,5%,3%,56%,2.00%,0:38,101,1:07,91,60%,38%,13%,No data available,15.88%,7.67%,0.61%,9.91%,13.89%,19.89%,64.07%,7.73,22%,32%,21%,Not Available,15%,60
H0137,Commonwealth Care Alliance Massachusetts,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",62%,68%,96%,20%,Not enough data available,0:39,52%,96%,2.06%,71%,87%,39%,11%,25%,32%,69%,90%,88%,81%,100%,Plan not required to report measure,44%,71%,79%,1%,3%,3%,4%,60%,2.06%,0:39,100,0:16,45,65%,49%,9%,No data available,31.25%,11.29%,1.05%,20.15%,31.35%,8.03%,74.49%,0.25,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0154,VIVA Medicare,"VIVA HEALTH, INC.","Triton Health Systems, L.L.C.",57%,65%,90%,28%,92,0:20,64%,97%,1.00%,72%,83%,24%,3%,14%,14%,87%,70%,92%,63%,90%,90%,48%,66%,80%,1%,6%,4%,3%,76%,1.00%,0:20,103,1:06,97,61%,43%,13%,16%,16.45%,2.31%,0.32%,11.27%,16.71%,17.88%,65.23%,2.46,9%,17%,16%,3%,6%,100
H0169,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",61%,63%,93%,21%,92,0:45,62%,98%,3.01%,78%,89%,33%,5%,19%,23%,69%,26%,89%,18%,91%,83%,39%,69%,83%,3%,10%,6%,12%,74%,3.01%,0:45,100,0:37,78,59%,46%,12%,17%,24.13%,6.36%,0.46%,17.42%,27.50%,14.97%,73.51%,3.48,6%,13%,9%,4%,10%,100
H0174,Wellcare,"WELLCARE OF TEXAS, INC.",Centene Corporation,32%,56%,79%,25%,Not enough data available,0:25,58%,90%,0.00%,66%,77%,27%,3%,15%,15%,45%,13%,77%,4%,93%,68%,51%,75%,77%,1%,3%,2%,3%,54%,0.00%,0:25,101,1:07,91,67%,51%,7%,3%,11.31%,1.99%,0.36%,8.27%,9.62%,15.45%,62.19%,11.81,26%,31%,21%,17%,19%,60
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.","Independence Health Group, Inc.",49%,59%,Not enough data available,20%,Not enough data available,0:38,50%,87%,5.00%,60%,87%,42%,4%,23%,29%,58%,25%,72%,17%,91%,Plan not required to report measure,36%,69%,76%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,43%,2.00%,0:06,100,0:10,84,54%,42%,7%,3%,16.79%,4.65%,0.59%,12.20%,15.34%,11.51%,69.01%,0.64,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",54%,67%,93%,24%,92,0:49,56%,96%,2.00%,76%,85%,43%,10%,26%,24%,58%,10%,80%,10%,92%,80%,34%,67%,84%,2%,4%,4%,5%,70%,2.00%,0:49,100,0:37,75,60%,47%,10%,9%,18.54%,6.02%,0.32%,17.04%,24.21%,13.86%,67.85%,6.84,9%,21%,4%,3%,5%,100
H0270,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:25,54%,95%,0.00%,Not enough data available,Not enough data available,18%,0%,9%,26%,42%,19%,76%,14%,Plan too small to be measured,63%,26%,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,61%,0.00%,0:25,100,1:07,91,53%,37%,6%,No data available,14.84%,0.00%,0.00%,11.63%,13.61%,14.37%,69.49%,6.01,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0271,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",49%,64%,86%,27%,91,0:39,62%,97%,1.36%,76%,87%,42%,6%,24%,18%,56%,18%,85%,17%,94%,80%,39%,69%,83%,2%,5%,5%,4%,74%,1.36%,0:39,100,0:46,75,61%,44%,10%,12%,20.19%,6.62%,0.40%,15.03%,20.46%,16.23%,72.33%,7.06,15%,12%,12%,Not Available,13%,100
H0292,Humana,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,51%,74%,Not enough data available,26%,94,1:59,81%,98%,3.19%,82%,75%,63%,9%,36%,18%,94%,77%,95%,38%,95%,Plan not required to report measure,42%,69%,80%,3%,27%,14%,17%,80%,3.19%,1:59,100,0:09,84,57%,23%,12%,18%,15.59%,4.83%,0.31%,11.09%,11.80%,21.62%,65.55%,1.31,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0294,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",55%,75%,88%,34%,90,0:32,75%,96%,2.51%,81%,78%,38%,5%,22%,9%,59%,28%,87%,26%,97%,81%,57%,69%,85%,6%,24%,17%,27%,78%,2.51%,0:32,100,0:46,69,47%,19%,12%,15%,11.47%,4.07%,0.41%,7.39%,8.54%,9.84%,69.74%,4.34,12%,15%,26%,9%,11%,100
H0302,Blue Cross Blue Shield of Arizona (AZ Blue),"MEDISUN, INC.",Blue Cross Blue Shield of Arizona,44%,71%,94%,32%,Not enough data available,0:37,81%,96%,5.00%,75%,80%,35%,5%,20%,13%,74%,63%,93%,52%,91%,Plan not required to report measure,64%,61%,86%,0%,9%,3%,5%,75%,5.00%,0:37,100,0:14,97,47%,23%,11%,No data available,10.41%,9.30%,0.07%,8.56%,9.57%,5.82%,63.87%,6.24,13%,18%,24%,6%,9%,100
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",70%,59%,87%,26%,Not enough data available,0:37,62%,95%,0.00%,72%,85%,44%,9%,26%,19%,60%,13%,84%,11%,93%,77%,49%,66%,85%,4%,4%,5%,2%,66%,0.00%,0:37,100,0:37,72,55%,40%,11%,7%,6.70%,12.87%,0.56%,13.93%,16.13%,10.35%,67.75%,6.29,9%,21%,13%,1%,6%,100
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","UnitedHealth Group, Inc.",32%,61%,91%,29%,94,0:49,83%,97%,1.00%,73%,86%,15%,1%,8%,13%,90%,91%,91%,63%,96%,Plan not required to report measure,85%,72%,78%,2%,6%,4%,3%,78%,1.00%,0:49,100,0:24,97,62%,31%,11%,4%,9.09%,1.68%,0.11%,4.01%,8.37%,14.49%,70.24%,3.52,27%,34%,18%,10%,21%,100
H0336,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,44%,87%,97%,19%,Not enough data available,0:37,56%,89%,4.04%,81%,89%,59%,9%,34%,24%,60%,49%,81%,19%,89%,Plan not required to report measure,53%,71%,78%,11%,11%,12%,7%,63%,4.04%,0:37,100,0:10,87,59%,39%,7%,8%,17.63%,4.56%,0.46%,9.40%,13.76%,22.86%,69.60%,0,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0342,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Point32Health, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:17,Plan too small to be measured,Plan too small to be measured,2.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.00%,0:17,100,0:23,97,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,13.02%,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0351,Wellcare by Allwell,"HEALTH NET OF ARIZONA, INC.",Centene Corporation,68%,64%,75%,22%,90,0:53,63%,90%,10.20%,69%,74%,26%,3%,15%,12%,62%,15%,83%,8%,92%,70%,57%,64%,83%,3%,7%,8%,4%,67%,10.20%,0:53,101,0:11,91,48%,27%,8%,No data available,5.48%,7.58%,0.24%,8.24%,9.89%,13.11%,65.19%,5.53,21%,12%,20%,Not Available,20%,60
H0354,Cigna Healthcare,"CIGNA HEALTHCARE OF ARIZONA, INC.",The Cigna Group,56%,64%,86%,34%,90,0:17,83%,96%,1.00%,75%,78%,25%,2%,14%,13%,88%,75%,95%,42%,94%,87%,63%,67%,83%,0%,0%,0%,1%,75%,1.00%,0:17,97,0:21,46,57%,32%,9%,No data available,6.69%,6.23%,0.23%,5.74%,9.97%,9.10%,58.37%,8.71,21%,28%,19%,9%,14%,80
H0363,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Founders, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:00,Plan too small to be measured,Plan too small to be measured,2.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,79%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.00%,1:00,No data available,0:21,50,No data available,No data available,15%,15%,13.64%,2.39%,0.00%,4.20%,26.45%,No data available,87.50%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0422,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:04,80%,94%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,14%,47%,44%,77%,39%,97%,Plan not required to report measure,26%,75%,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,79%,1.00%,0:04,95,0:21,44,40%,12%,No data available,No data available,3.09%,No data available,No data available,7.78%,8.36%,6.62%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,63%,48%,Not enough data available,32%,Not enough data available,0:34,61%,93%,2.00%,71%,88%,49%,8%,28%,17%,67%,43%,81%,38%,95%,78%,55%,69%,86%,3%,1%,3%,0%,68%,1.01%,0:28,101,1:06,86,65%,58%,11%,No data available,10.46%,11.42%,0.00%,11.80%,9.61%,18.67%,74.38%,2.36,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0432,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",41%,62%,84%,26%,92,0:26,55%,96%,0.00%,71%,83%,43%,5%,24%,18%,59%,9%,83%,9%,94%,85%,36%,67%,84%,1%,3%,2%,3%,75%,0.00%,0:26,100,0:46,72,59%,40%,12%,16%,13.47%,1.89%,0.52%,13.94%,17.40%,20.41%,65.93%,5.54,16%,18%,16%,Not Available,13%,100
H0439,Cigna Healthcare,"CIGNA HEALTHCARE OF GEORGIA, INC.",The Cigna Group,29%,60%,87%,33%,94,0:40,72%,97%,0.00%,72%,74%,32%,4%,18%,18%,89%,42%,90%,14%,94%,94%,50%,63%,79%,0%,0%,0%,3%,77%,0.00%,0:40,98,0:21,48,61%,40%,12%,18%,17.29%,5.77%,0.33%,7.84%,14.64%,14.74%,63.44%,14.95,17%,15%,24%,Not Available,14%,100
H0473,Humana,HUMANA INSURANCE COMPANY OF KENTUCKY,Humana Inc.,37%,66%,83%,24%,93,1:59,68%,96%,3.19%,69%,79%,54%,7%,30%,17%,75%,47%,90%,21%,98%,90%,39%,74%,79%,3%,8%,6%,8%,73%,3.19%,1:59,100,0:09,83,61%,27%,5%,3%,11.19%,3.16%,0.08%,9.50%,13.43%,25.48%,61.63%,1.33,12%,11%,19%,Not Available,12%,100
H0480,MeridianComplete (Medicare-Medicaid Plan),"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,58%,59%,91%,20%,Not enough data available,0:22,54%,89%,2.00%,78%,89%,23%,2%,12%,22%,39%,26%,78%,28%,96%,Plan not required to report measure,31%,67%,88%,0%,7%,7%,2%,55%,2.00%,0:22,100,1:08,98,51%,40%,9%,4%,16.47%,6.30%,0.31%,12.41%,17.94%,17.64%,71.88%,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0482,Wellcare by Allwell,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Not enough data available,72%,Not enough data available,Not enough data available,93,0:16,63%,83%,2.00%,72%,84%,27%,2%,14%,29%,41%,7%,73%,2%,Plan too new to be measured,28%,40%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,47%,2.00%,0:16,102,0:11,92,53%,31%,6%,No data available,13.57%,4.28%,0.00%,4.25%,7.67%,20.69%,66.67%,20.23,24%,40%,25%,Not Available,Not Available,60
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,43%,63%,88%,24%,90,0:11,76%,95%,1.50%,52%,71%,50%,3%,27%,9%,79%,13%,89%,4%,95%,Plan not required to report measure,64%,71%,84%,7%,12%,13%,7%,72%,1.50%,0:11,100,0:21,97,59%,30%,11%,2%,15.11%,4.81%,0.18%,5.32%,9.56%,14.56%,59.25%,3.84,15%,33%,18%,10%,11%,80
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,CVS Health Corporation,Not enough data available,58%,Not enough data available,22%,Not enough data available,0:20,69%,92%,0.67%,Not enough data available,Not enough data available,56%,5%,31%,8%,73%,8%,79%,3%,93%,Plan not required to report measure,65%,63%,86%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,75%,0.67%,0:20,100,0:35,95,55%,33%,8%,No data available,11.49%,5.56%,0.00%,4.55%,7.71%,25.75%,62.59%,2.07,14%,52%,10%,Not Available,10%,100
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",84%,67%,93%,35%,90,2:04,81%,94%,0.00%,87%,97%,44%,10%,27%,11%,99%,93%,97%,73%,93%,Plan not required to report measure,86%,64%,85%,1%,1%,2%,8%,87%,0.00%,2:04,101,0:26,44,46%,27%,12%,11%,6.09%,2.18%,1.18%,4.06%,7.27%,4.60%,71.07%,8.44,24%,25%,19%,7%,18%,80
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",36%,61%,84%,25%,Not enough data available,0:40,74%,95%,0.00%,70%,83%,17%,1%,9%,11%,66%,22%,84%,15%,95%,70%,68%,66%,83%,3%,8%,8%,3%,78%,0.00%,0:40,100,0:46,71,56%,33%,11%,10%,12.84%,5.08%,0.16%,6.85%,9.95%,15.36%,64.89%,5.56,25%,31%,20%,10%,15%,100
